,precision,recall,f1-score,support
0,0.9999529642595567,0.9824264909755872,0.9911122507084559,454434.0
1,0.09578921447919232,0.9974358974358974,0.17479218153223994,390.0
2,0.9927797833935018,0.9996872923425713,0.9962215643502649,25583.0
3,0.9353818346136467,0.9980713596914176,0.9657102869139258,2074.0
4,0.9562943901183737,0.9992685969969454,0.9773093066557264,46486.0
5,0.8434782608695652,0.9953358208955224,0.9131364997860505,1072.0
6,0.9685430463576159,0.9974424552429667,0.9827803443931121,1173.0
7,0.9757575757575757,0.9987593052109182,0.9871244635193133,1612.0
8,1.0,0.5,0.6666666666666666,2.0
9,0.045454545454545456,1.0,0.08695652173913043,5.0
10,0.9912127087372569,0.9995585128188956,0.9953681169432712,31711.0
11,0.8565153733528551,0.9974424552429667,0.9216226860968886,1173.0
12,0.32653061224489793,0.5194805194805194,0.40100250626566414,308.0
13,0.054945054945054944,0.7142857142857143,0.10204081632653061,7.0
14,0.1119648737650933,0.8571428571428571,0.19805825242718447,119.0
accuracy,0.9854667234243989,0.9854667234243989,0.9854667234243989,0.9854667234243989
macro avg,0.6769733492232487,0.9037558185175185,0.690660164288295,566149.0
weighted avg,0.9933945446765496,0.9854667234243989,0.9889646780512127,566149.0
